"specimen_no","sex","process_date","preservation_day","standard_length_mm","fork_length_mm","total_length_mm","weight_g","processor_id","flag"
"fish_01","M","2014-06-11",0,"69.32",74.27,NA,"3.42","1",NA
"fish_02","M","2014-06-11",0,"65.16",70.64,NA,"2.89","1",NA
"fish_03","M","2014-06-11",0,"62",66.42,NA,"2.73","1",NA
"fish_04","M","2014-06-11",0,"60.17",63.92,NA,"2.04","1",NA
"fish_05","M","2014-06-11",0,"64.72",69.51,NA,"2.49","1",NA
"fish_06","M","2014-06-11",0,"72.23",77.28,NA,"3.64","1",NA
"fish_07","M","2014-06-11",0,"82.24",87.98,NA,"5.51","1",NA
"fish_08","M","2014-06-11",0,"67.72",72.63,NA,"2.78","1",NA
"fish_09","M","2014-06-11",0,"70.32",74.33,NA,"3.09","1",NA
"fish_10","M","2014-06-11",0,"78.04",84.07,NA,"5.18","1",NA
"fish_11","M","2014-06-11",0,"68.43",73.77,NA,"3.21","1",NA
"fish_12","M","2014-06-11",0,"63.69",67.85,NA,"2.17","1",NA
"fish_13","M","2014-06-11",0,"65.36",69.75,NA,"2.58","1",NA
"fish_14","M","2014-06-11",0,"65.07",68.37,"75.62","3.07","1",NA
"fish_15","M","2014-06-11",0,"63.88",68.01,"73.4","2.26","1",NA
"fish_16","M","2014-06-11",0,"65.15",69.04,"74.22","2.85","1",NA
"fish_17","M","2014-06-11",0,"67.77",72.08,"77.19","2.91","1",NA
"fish_18","M","2014-06-11",0,"56.73",61.18,"65.56","1.94","1",NA
"fish_19","M","2014-06-11",0,"62.09",67.05,"71.18","2.49","1",NA
"fish_20","M","2014-06-11",0,"66.68",71.71,"76.38","3.05","1",NA
"fish_21","M","2014-06-11",0,"69.45",74.38,"78.67","3.19","1",NA
"fish_22","M","2014-06-11",0,"62.28",66.78,"71.01","2.42","1",NA
"fish_23","M","2014-06-11",0,"58.43",62.86,"66.7","1.95","1",NA
"fish_24","M","2014-06-11",0,"60.48",64.39,"68.2","1.96","1",NA
"fish_25","M","2014-06-11",0,"62.1",67.67,"72.12","2.56","1",NA
"fish_26","F","2014-06-11",0,"70.78",75.45,"80.61","3.05","1",NA
"fish_27","F","2014-06-11",0,"76.49",82.22,"87.18","4.2","1",NA
"fish_28","F","2014-06-11",0,"79.13",83.91,"91.08","6.15","1",NA
"fish_29","F","2014-06-11",0,"84.24",90.33,"98","7.13","1",NA
"fish_30","F","2014-06-11",0,"79.29",84.87,"91.38","4.91","1",NA
"fish_31","F","2014-06-11",0,"80.79",86.83,"91.11","5.3","1",NA
"fish_32","F","2014-06-11",0,"75.73",80.89,"87.15","4.12","1",NA
"fish_33","F","2014-06-11",0,"65.88",70.71,"75.04","2.93","1",NA
"fish_34","F","2014-06-11",0,"73.8",79.29,"84.09","4.51","1",NA
"fish_35","F","2014-06-11",0,"69.92",74.33,"80.53","3.47","1",NA
"fish_36","F","2014-06-11",0,"61.73",65.88,"71.44","2.35","1",NA
"fish_37","F","2014-06-11",0,"72.4",78.4,"83.97","4.53","1",NA
"fish_38","F","2014-06-11",0,"84.02",90.54,"97.01","5.12","1",NA
"fish_39","F","2014-06-11",0,"66.35",70.52,"76.36","2.69","1",NA
"fish_40","F","2014-06-11",0,"66.57",71.14,"76.51","3.12","1",NA
"fish_41","F","2014-06-11",0,"73.37",78.12,"84.65","3.63","1",NA
"fish_42","F","2014-06-11",0,"75.34",80.29,"86.57","3.87","1",NA
"fish_43","F","2014-06-11",0,"73.98",79.77,"86.24","4.12","1",NA
"fish_44","F","2014-06-11",0,"73.07",78.57,"83.67","3.8","1",NA
"fish_45","F","2014-06-11",0,"68.68",74.12,"80.15","3.23","1",NA
"fish_46","F","2014-06-11",0,"63",67.25,"73.41","2.68","1",NA
"fish_47","F","2014-06-11",0,"76.13",82.09,"88.34","4.25","1",NA
"fish_48","F","2014-06-11",0,"71.46",77,"81.12","3.07","1",NA
"fish_01","M","2014-06-18",7,"67.7",72.8,"77.03","3.886","1",NA
"fish_02","M","2014-06-18",7,"65.19",68.89,"73.98","3.3226","1",NA
"fish_03","M","2014-06-18",7,"61.47",65.99,"69.92","3.1584","1",NA
"fish_04","M","2014-06-18",7,"59.63",63.58,"65.46","2.362","1",NA
"fish_05","M","2014-06-18",7,"62.11",68.39,"71.89","2.8517","1",NA
"fish_06","M","2014-06-18",7,"71.3",75.45,"79.98","4.2228","1",NA
